"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","sample_end_dateTime","tz_cd"
"20","USGS","01491000",1985-11-04,"08:40",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.82,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-11-04 13:40:00,NA,"UTC"
"21","USGS","01491000",1985-11-18,"10:45",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.69,NA,"CAL08","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-11-18 15:45:00,NA,"UTC"
"22","USGS","01491000",1985-12-27,"11:30",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,1.5,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-12-27 16:30:00,NA,"UTC"
"23","USGS","01491000",1986-01-30,"10:45",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,1.3,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-01-30 15:45:00,NA,"UTC"
"24","USGS","01491000",1986-02-03,"10:30",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"5","9","9",NA,"00618",NA,1.5,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-02-03 15:30:00,NA,"UTC"
"25","USGS","01491000",1986-02-06,"12:00",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"5","9","Z",NA,"00618",NA,1.19,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-02-06 17:00:00,NA,"UTC"
"26","USGS","01491000",1986-02-19,"16:00",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"7","9","Z",NA,"00618",NA,1.09,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-02-19 21:00:00,NA,"UTC"
"27","USGS","01491000",1986-02-28,"09:45",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.4,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-02-28 14:45:00,NA,"UTC"
"28","USGS","01491000",1986-03-28,"09:45",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.19,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-03-28 14:45:00,NA,"UTC"
"29","USGS","01491000",1986-03-28,"09:50",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.19,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-03-28 14:50:00,NA,"UTC"
